ID,English,Italian
1,car,macchina
2,book,libro
3,water,acqua
4,high,alto
5,light,luce
6,house,casa
7,star,stella
8,dog,cane
9,cat,gatto
10,food,cibo
11,bread,pane
12,milk,latte
13,coffee,caffè
14,tea,tè
15,school,scuola
16,teacher,insegnante
17,student,studente
18,friend,amico
19,family,famiglia
20,mother,madre
21,father,padre
22,brother,fratello
23,sister,sorella
24,child,bambino
25,man,uomo
26,woman,donna
27,day,giorno
28,night,notte
29,morning,mattina
30,evening,sera
31,time,tempo
32,year,anno
33,week,settimana
34,month,mese
35,sun,sole
36,moon,luna
37,sky,cielo
38,tree,albero
39,flower,fiore
40,road,strada
41,city,città
42,town,paese
43,room,stanza
44,door,porta
45,window,finestra
46,table,tavolo
47,chair,sedia
48,bed,letto
49,phone,telefono
50,computer,computer
51,music,musica
52,song,canzone
53,movie,film
54,work,lavoro
55,money,soldi
56,store,negozio
57,market,mercato
58,bus,autobus
59,train,treno
60,bicycle,bicicletta
61,airplane,aereo
62,hand,mano
63,head,testa
64,eye,occhio
65,ear,orecchio
66,mouth,bocca
67,heart,cuore
68,red,rosso
69,blue,blu
70,green,verde
71,black,nero
72,white,bianco
73,big,grande
74,small,piccolo
75,new,nuovo
76,old,vecchio
77,good,buono
78,bad,cattivo
79,hot,caldo
80,cold,freddo
81,fast,veloce
82,slow,lento
83,happy,felice
84,sad,triste
85,you're welcome,prego
86,enough,abbastanza
87,please,per favore
88,thank you,grazie
89,sorry,scusa
90,hello,ciao
91,goodbye,arrivederci
92,left,sinistra
93,right,destra
94,open,aprire
95,close,chiudere
96,eat,mangiare
97,drink,bere
98,sleep,dormire
99,read,leggere
100,write,scrivere
